ID,Category,Sub-Issue,Situation,Your Right,Law Reference,Script to Say,Escalation,What NOT to Do,Severity,Source Statutes
IN_TRAFFIC_001_phone_unlock,TRAFFIC_STOP,DEVICE_SEARCH,Traffic officer asking you to unlock your phone or show DigiLocker,"You are NOT required to unlock your phone or show DigiLocker. You must only produce your driving license, RC, and insurance certificate.","Motor Vehicles Act, 1988 - Section 129","Officer, under Section 129 of the Motor Vehicles Act, I am only required to produce my license, RC, and insurance. I am happy to show these documents. I am not required to unlock my personal device.",Ask for officer name and badge number > Record the interaction (Art.19(1)(a)) > File complaint with SP Office > CM Helpline > High Court under Art.226,Do not physically resist. Do not refuse to show license/RC/insurance.,medium,Motor Vehicles Act 1988 S.129; Constitution Art.21 (Puttaswamy)
IN_TRAFFIC_002_challan_dispute,TRAFFIC_STOP,CHALLAN_DISPUTE,Officer issuing a wrong challan or demanding cash payment,You have the right to receive a proper e-challan. Officers cannot demand cash on the spot. You can contest any challan within 60 days.,"Motor Vehicles Act, 1988 - Sections 200, 206","Officer, I request a proper e-challan with details of the violation. I will pay through the official portal. I am not required to pay cash on the spot.",Demand written/e-challan > Note police vehicle number > Contest challan online at echallan.parivahan.gov.in > File RTI on challan records,Do not pay cash to the officer. Do not bribe.,medium,Motor Vehicles Act 1988 S.200; Motor Vehicles Act 1988 S.206
IN_ARREST_001_warrantless,ARREST,WARRANTLESS_ARREST,Police attempting to arrest you without showing a warrant,"Police can only arrest without warrant for cognizable offences. They MUST tell you WHY and inform your family. For offences under 7 years punishment, they should issue a notice first.","BNSS 2023 - Sections 35, 36, 47, 48; Constitution Art.22(1)","Officer, please tell me the grounds for my arrest. Under Section 47 of the BNSS, I have the right to know why I am being arrested. Please inform my family member at [number] as required under Section 48.",Ask for grounds of arrest (S.47 BNSS) > Demand family be informed (S.48 BNSS) > Ask to meet lawyer (S.38 BNSS) > Must see Magistrate within 24 hours (S.57) > File habeas corpus (Art.226),Do not physically resist. Do not sign blank papers. Do not make statements without lawyer.,critical,BNSS 2023 S.35; BNSS 2023 S.36; BNSS 2023 S.47; BNSS 2023 S.48; Constitution Art.22
IN_ARREST_002_rights_in_custody,ARREST,RIGHTS_DURING_ARREST,You are at the police station or in custody after arrest,"Rights: (1) know why arrested, (2) meet lawyer during interrogation, (3) family informed, (4) Magistrate within 24 hours, (5) no torture, (6) free legal aid if needed.","BNSS 2023 - Sections 36, 38, 47, 48, 57; Constitution Art.21, 22; D.K. Basu guidelines",I want to exercise my right under Section 38 of the BNSS to meet my lawyer. Please prepare the arrest memo under Section 36 and inform my family under Section 48. I will not make any statement until I speak to my lawyer.,Demand arrest memo (S.36 - D.K. Basu) > Call NALSA helpline 15100 for free legal aid > Refuse to sign blank papers > If not before Magistrate in 24hrs file habeas corpus > Report torture to NHRC (nhrc.nic.in),Do not confess under pressure. Do not sign blank papers. Do not bribe.,critical,BNSS 2023 S.36; BNSS 2023 S.38; BNSS 2023 S.57; D.K. Basu v State of WB 1997; Constitution Art.22
IN_ARREST_003_women,ARREST,WOMEN_ARREST_RIGHTS,A woman being arrested or detained by police,A woman CANNOT be arrested between sunset and sunrise except with JMFC permission. Only a woman officer can arrest. No male officer can touch a woman during arrest.,BNSS 2023 - Section 43; Constitution Art.21,"I am a woman and under Section 43 of the BNSS, you cannot arrest me at night without Judicial Magistrate permission. I have the right to be arrested only by a woman police officer. No male officer may touch me.",Demand woman police officer (S.43 BNSS) > Ask for JMFC permission order for night arrest > NCW helpline 7827-170-170 > State Women Commission > High Court Art.226,Do not go with male officers alone. Do not physically resist.,critical,BNSS 2023 S.43; Constitution Art.21
IN_SEARCH_001_home_entry,HOME_SEARCH,WARRANTLESS_HOME_ENTRY,Police at your door wanting to enter and search your home,"Police CANNOT enter without a search warrant from a Magistrate, except in emergencies. Even with warrant, search needs two independent witnesses from the locality.","BNSS 2023 - Sections 94, 105; Constitution Art.21","Officer, please show me a valid search warrant from a Magistrate. Under the BNSS, you need a warrant to enter my home. I request the search be conducted with two independent witnesses from my neighbourhood as required by law.",Ask to see search warrant > Demand two local witnesses (S.105 BNSS) > Video record the entire search > Get copy of panchnama > File complaint if illegal (SP or Art.226),Do not physically block police. Do not destroy evidence. Do not sign panchnama without reading.,high,BNSS 2023 S.94; BNSS 2023 S.105; Constitution Art.21
IN_RECORD_001_filming_police,RECORDING_POLICE,RIGHT_TO_FILM,You want to record police or they are stopping you / deleting your footage,You can record police performing duties in public under Article 19(1)(a). Police cannot seize or delete recordings without warrant. Bombay HC ruled filming in police stations is not an offence.,Constitution Art.19(1)(a); Kerala Police Act 2011 S.33(2); Puttaswamy 2017,I am recording this interaction peacefully from a safe distance under Article 19(1)(a) of the Constitution. I am not interfering with your duty. You cannot seize my device or delete recordings without a warrant.,Continue recording from safe distance > If device seized note officer details > File complaint for illegal seizure (SP) > NHRC complaint > High Court writ under Art.226,Do not obstruct police while recording. Do not push camera in faces. Do not record in restricted areas.,medium,Constitution Art.19(1)(a); Constitution Art.21; Puttaswamy 2017; Kerala Police Act 2011 S.33(2)
IN_DETAIN_001_id_check,DETENTION,STOP_AND_ID,Police stopping you and demanding identification without specific reason,No general law requires carrying ID at all times. Police cannot detain you solely for not having ID. But refusing to give your NAME can lead to arrest under Section 39 BNSS.,"BNSS 2023 - Sections 35, 39; Constitution Art.21","Officer, I am happy to tell you my name and address. May I ask what offence I am suspected of? I would like to know the reason for being stopped.",Give name and address (avoid S.39 issues) > Ask reason for being stopped > If not under arrest ask if free to leave > Note officer details > File complaint if illegally detained,Do not refuse to give your name. Do not be aggressive. Do not run.,medium,BNSS 2023 S.35; BNSS 2023 S.39; Constitution Art.21
IN_COMPLAINT_001_fir_refusal,FILING_COMPLAINT,FIR_REFUSAL,Police refusing to register your FIR (First Information Report),"Police are LEGALLY BOUND to register FIR for cognizable offences. Refusal is punishable. You can send complaint to SP by post, approach Magistrate, or file online.",BNSS 2023 - Section 173; Lalita Kumari v Govt of UP (2014),"Officer, under Section 173 of the BNSS and the Supreme Court ruling in Lalita Kumari, you are legally required to register my FIR. Refusal is itself punishable. Please register my complaint now.",Insist citing Lalita Kumari > Written complaint by registered post to SP > Approach SP directly > Judicial Magistrate under S.175 BNSS > Online at digitalpolice.gov.in,Do not bribe police. Do not file false FIR. Do not threaten.,high,BNSS 2023 S.173; BNSS 2023 S.175; Lalita Kumari v Govt of UP 2014
IN_COMPLAINT_002_misconduct,FILING_COMPLAINT,POLICE_MISCONDUCT,"Filing a complaint against police misconduct (abuse, corruption, illegal detention)","Multiple channels: Police Complaints Authority, NHRC, State Human Rights Commission, SP Office. For serious abuse approach High Court. Compensation available for groundless arrest.",Prakash Singh v Union of India (2006); NHRC Act 1993; BNSS 2023 S.399; Constitution Art.226,I wish to file a formal complaint regarding police misconduct. I am documenting the officer details and incident. I will file with the NHRC / State Human Rights Commission / SP Office.,"Document everything (date, time, officer, witnesses) > Written complaint to SP by registered post > State Police Complaints Authority > NHRC online at nhrc.nic.in > High Court writ Art.226 > Compensation under S.399 BNSS",Do not file false complaints. Do not confront officer directly. Do not delay.,high,Prakash Singh v Union of India 2006; NHRC Act 1993; BNSS 2023 S.399; Constitution Art.226
IN_DEVICE_001_phone_search,DEVICE_SEARCH,PHONE_SEARCH,"Police demanding to search your phone, messages, or social media","Police CANNOT search your phone without consent or court order. Phone is protected under right to privacy (Art.21). Even during arrest, physical search does not cover digital data extraction.",Constitution Art.21; Puttaswamy 2017; BNSS 2023 S.49; IT Act 2000 S.69,"Officer, my phone is protected under the right to privacy (Puttaswamy, Supreme Court). You need a court order under Section 69 of the IT Act to search my phone. I do not consent to unlocking my device.",Politely refuse to unlock > Ask for written court order > If phone seized demand receipt > Contact lawyer / NALSA 15100 > NHRC or High Court Art.226,Do not hand over unlocked phone. Do not delete data in front of officers. Do not physically resist.,high,Constitution Art.21; Puttaswamy 2017; BNSS 2023 S.49; IT Act 2000 S.69
